file,line,terms,status,context_classification,system_spec_sha256
AGENTS.md,701,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,751,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
AGENTS.md,763,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/capacity_coverage_v1/capacity_report.md,1,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/capacity_coverage_v1/capacity_report.md,3,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/capacity_coverage_v1/capacity_report.md,21,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,23,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,34,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,38,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,71,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,75,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,80,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,82,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/classifier_family_robustness_v1/classifier_robustness_report.md,84,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/decoder_error_analysis_v1/ecc_recommendation.md,37,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/ecc_integrity_rejection_v1/integrity_report.md,72,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/ecc_integrity_validation_v1/validation_report.md,18,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/ecc_integrity_validation_v1/validation_report.md,127,perfect,REVIEWED_CONTEXTUAL_USE,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/ecc_integrity_validation_v1/validation_report.md,170,secure;guaranteed,PROHIBITED_IF_ASSERTED; CURRENT OCCURRENCE IS WARNING/NEGATION OR HISTORICAL,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/host_aware_pn_selection_v1/host_aware_pn_report.md,23,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/host_aware_pn_selection_v1/host_aware_pn_report.md,92,secure,PROHIBITED_IF_ASSERTED; CURRENT OCCURRENCE IS WARNING/NEGATION OR HISTORICAL,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,13,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,24,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,25,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,29,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,34,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,42,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,44,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,62,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,63,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,88,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,89,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/message_content_robustness_v1/message_content_report.md,109,random,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/one_codeword_floor_validation_v1/validation_report.md,9,capacity,VALID_ONLY_WITH_QUALIFIER,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
results/one_codeword_floor_validation_v1/validation_report.md,21,zero risk,PROHIBITED_IF_ASSERTED; CURRENT OCCURRENCE IS WARNING/NEGATION OR HISTORICAL,historical report or methodological warning; final narrative uses qualified language,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
